scale,strategy,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
large,full,mean_delay,10,31.75059234489209,2.3233710914716235,31.636947514688032,28.912878059097125,36.18851362184407,30.31055202311911,33.190632666665074
large,full,makespan,10,129.43620069347588,4.826875013208478,129.41551961648622,121.4670507573854,137.0388527402604,126.44447256502784,132.42792882192393
large,full,initial_planning_runtime,10,8.809004439997807,0.6547552749023305,8.513660699998582,8.278827999994974,10.024316899995029,8.403182916172401,9.214825963823213
large,full,total_replanning_runtime,10,55.10984904000797,16.418893832920322,57.88192015000459,29.36667890001263,77.87575480002852,44.933313210193994,65.28638486982194
large,full,mean_replanning_runtime,10,1.1021969808001597,0.3283778766584064,1.157638403000092,0.5873335780002527,1.5575150960005704,0.8986662642038801,1.3057276973964393
large,full,max_replanning_runtime,10,3.7485574799997265,0.6991220465050718,3.794577800003026,2.673237100003462,4.841885199995886,3.315237146238466,4.1818778137609876
large,full,total_algorithm_runtime,10,63.91885348000578,16.88630899023323,66.16485145000115,37.82279690001451,87.74767410002823,53.45261073423284,74.38509622577872
large,full,runner_wall_runtime,10,63.944819890001234,16.88955478017821,66.1906479499994,37.84497430000192,87.78007700000308,53.476565382777906,74.41307439722456
large,full,assignment_changes,10,398.5,81.92035427440756,408.5,274.0,534.0,347.7252383779325,449.2747616220675
large,full,successor_edge_changes,10,707.5,178.19044119518122,739.0,407.0,1017.0,597.0564203163746,817.9435796836254
large,full,total_travel_time,10,577.0208152573585,25.086002774534297,572.397149931548,537.41300370005,622.4263202922574,561.4723496506195,592.5692808640975
large,full,active_uav_count,10,8.0,0.0,8.0,8.0,8.0,8.0,8.0
large,local,weighted_delay,10,13098.988558570087,1264.944419205562,12980.986132483355,11317.139481197524,15242.112172587797,12314.967884841237,13883.009232298937
large,local,weighted_mean_delay,10,23.95158695670785,1.5010008639339978,23.22585388253485,22.190469570975537,26.693716589470743,23.021256982725113,24.881916930690586
large,local,high_priority_mean_delay,10,18.54715614695878,1.7953326299740955,18.058575096456366,16.431007702774664,22.763200270123956,17.43439745436445,19.65991483955311
large,local,mean_delay,10,32.17248062405589,1.979188241912428,32.63501744390336,29.920221607585507,36.27794945575841,30.945767042573042,33.39919420553874
large,local,makespan,10,133.45285053870424,5.381923997775995,132.22051356048058,127.37535439401992,147.4850445334453,130.11709948543358,136.7886015919749
large,local,initial_planning_runtime,10,8.754669470000227,0.615746788149008,8.523226900000736,8.251463099993998,9.921930399999836,8.373025656753356,9.136313283247098
large,local,total_replanning_runtime,10,2.1016668999945978,0.5880667455843824,2.1203436000323563,1.2062059000163572,3.1667213999899104,1.7371793548737124,2.466154445115483
large,local,mean_replanning_runtime,10,0.042033337999891895,0.011761334911687663,0.0424068720006471,0.0241241180003271,0.0633344279997982,0.03474358709747418,0.04932308890230961
large,local,max_replanning_runtime,10,0.12041439999957215,0.0036235075235592964,0.1193209499979275,0.1163151000000652,0.1257817000005161,0.11816852676850424,0.12266027323064006
large,local,total_algorithm_runtime,10,10.856336369994825,1.1078648978753303,10.542475450034544,9.76161889994546,13.088651799989748,10.169674592255792,11.542998147733858
large,local,runner_wall_runtime,10,10.881653849999566,1.1117351176758385,10.567093199999363,9.78412820000085,13.121041499995044,10.192593285175976,11.570714414823156
large,local,assignment_changes,10,63.0,14.11067365901115,61.5,48.0,97.0,54.254113855963794,71.7458861440362
large,local,successor_edge_changes,10,127.6,38.93641540312159,122.0,76.0,223.0,103.46695970711983,151.73304029288016
large,local,total_travel_time,10,589.7314373610308,24.267018963692994,594.8192323977089,539.1211082025945,613.9461395306874,574.6905831792681,604.7722915427935
large,local,active_uav_count,10,8.0,0.0,8.0,8.0,8.0,8.0,8.0
